
,,,Measures,"Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities"
"March","2013","Unknown","Snowing, not including drifting snow",96,179,259,122,0
"March","2013","Unknown","Freezing rain, sleet, hail",4,9,8,5,0
"March","2013","Unknown","Visibility limitation",5,9,12,5,0
"March","2013","Unknown","Strong wind",7,11,16,13,0
"March","2013","Unknown","Other",2,3,3,3,0
"March","2013","Unknown","Unknown",72,130,187,84,1
"March","2014","Straight and level","Clear and sunny",3987,7432,10544,5387,29
"March","2014","Straight and level","Overcast, cloudy but no precipitation",580,1066,1525,806,0
"March","2014","Straight and level","Raining",301,519,809,428,3
"March","2014","Straight and level","Snowing, not including drifting snow",802,1435,2063,1087,15
"March","2014","Straight and level","Freezing rain, sleet, hail",19,32,41,24,0
"March","2014","Straight and level","Visibility limitation",229,449,646,344,5
"March","2014","Straight and level","Strong wind",34,50,81,52,0
"March","2014","Straight and level","Other",8,14,18,9,0
"March","2014","Straight and level","Unknown",65,123,164,75,1
"March","2014","Straight with gradient","Clear and sunny",386,732,1060,536,4
"March","2014","Straight with gradient","Overcast, cloudy but no precipitation",89,171,265,128,1
"March","2014","Straight with gradient","Raining",64,120,178,100,0
"March","2014","Straight with gradient","Snowing, not including drifting snow",109,183,251,134,2
"March","2014","Straight with gradient","Freezing rain, sleet, hail",3,5,6,5,0
"March","2014","Straight with gradient","Visibility limitation",18,31,51,30,1
"March","2014","Straight with gradient","Strong wind",2,2,3,3,0
"March","2014","Straight with gradient","Other",1,2,5,3,0
"March","2014","Straight with gradient","Unknown",2,4,6,3,0
"March","2014","Curved and level","Clear and sunny",363,550,760,473,12
"March","2014","Curved and level","Overcast, cloudy but no precipitation",81,113,162,97,2
"March","2014","Curved and level","Raining",30,44,66,44,0
"March","2014","Curved and level","Snowing, not including drifting snow",129,210,343,169,1
"March","2014","Curved and level","Freezing rain, sleet, hail",10,12,21,12,0
"March","2014","Curved and level","Visibility limitation",29,44,65,36,1
"March","2014","Curved and level","Strong wind",8,10,13,10,1
"March","2014","Curved and level","Other",1,1,1,1,0
"March","2014","Curved and level","Unknown",12,19,24,16,0
"March","2014","Curved with gradient","Clear and sunny",146,229,334,197,0
"March","2014","Curved with gradient","Overcast, cloudy but no precipitation",50,67,94,64,0
"March","2014","Curved with gradient","Raining",22,29,36,29,0
"March","2014","Curved with gradient","Snowing, not including drifting snow",74,124,180,112,2
"March","2014","Curved with gradient","Freezing rain, sleet, hail",5,6,8,5,0
"March","2014","Curved with gradient","Visibility limitation",14,22,31,23,1
"March","2014","Curved with gradient","Strong wind",0,0,0,0,0
"March","2014","Curved with gradient","Other",0,0,0,0,0
"March","2014","Curved with gradient","Unknown",1,1,6,2,0
"March","2014","Top of hill or gradient","Clear and sunny",56,96,135,69,4
"March","2014","Top of hill or gradient","Overcast, cloudy but no precipitation",15,27,47,24,0
"March","2014","Top of hill or gradient","Raining",3,3,7,4,0
"March","2014","Top of hill or gradient","Snowing, not including drifting snow",20,33,40,21,0
"March","2014","Top of hill or gradient","Freezing rain, sleet, hail",2,2,4,3,0
"March","2014","Top of hill or gradient","Visibility limitation",6,11,14,6,2
"March","2014","Top of hill or gradient","Strong wind",3,4,4,3,0
"March","2014","Top of hill or gradient","Other",0,0,0,0,0
"March","2014","Top of hill or gradient","Unknown",0,0,0,0,0
"March","2014","Bottom of hill or gradient","Clear and sunny",42,68,92,61,0
"March","2014","Bottom of hill or gradient","Overcast, cloudy but no precipitation",17,28,39,22,1
"March","2014","Bottom of hill or gradient","Raining",2,3,7,3,0
"March","2014","Bottom of hill or gradient","Snowing, not including drifting snow",22,33,54,31,0
"March","2014","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"March","2014","Bottom of hill or gradient","Visibility limitation",10,21,36,18,1
"March","2014","Bottom of hill or gradient","Strong wind",1,1,1,1,0
"March","2014","Bottom of hill or gradient","Other",0,0,0,0,0
"March","2014","Bottom of hill or gradient","Unknown",1,2,3,2,0
"March","2014","Other","Clear and sunny",12,17,44,16,0
"March","2014","Other","Overcast, cloudy but no precipitation",5,10,17,10,0
"March","2014","Other","Raining",0,0,0,0,0
"March","2014","Other","Snowing, not including drifting snow",0,0,0,0,0
"March","2014","Other","Freezing rain, sleet, hail",0,0,0,0,0
"March","2014","Other","Visibility limitation",0,0,0,0,0
"March","2014","Other","Strong wind",0,0,0,0,0
"March","2014","Other","Other",0,0,0,0,0
"March","2014","Other","Unknown",1,1,2,1,0
"March","2014","Unknown","Clear and sunny",380,719,1011,457,3
"March","2014","Unknown","Overcast, cloudy but no precipitation",10,17,24,13,0
"March","2014","Unknown","Raining",15,25,41,27,0
"March","2014","Unknown","Snowing, not including drifting snow",66,123,173,91,0
"March","2014","Unknown","Freezing rain, sleet, hail",2,4,10,3,1
"March","2014","Unknown","Visibility limitation",2,3,3,2,0
"March","2014","Unknown","Strong wind",3,5,5,4,0
"March","2014","Unknown","Other",1,1,2,1,0
"March","2014","Unknown","Unknown",43,74,94,50,0
"March","2015","Straight and level","Clear and sunny",4281,8006,11422,5778,40
"March","2015","Straight and level","Overcast, cloudy but no precipitation",512,919,1324,684,7
"March","2015","Straight and level","Raining",279,482,735,371,1
"March","2015","Straight and level","Snowing, not including drifting snow",446,791,1198,606,0
"March","2015","Straight and level","Freezing rain, sleet, hail",39,64,89,50,1
"March","2015","Straight and level","Visibility limitation",160,428,577,292,4
"March","2015","Straight and level","Strong wind",40,53,71,48,1
"March","2015","Straight and level","Other",9,14,27,16,0
"March","2015","Straight and level","Unknown",71,131,183,87,0
"March","2015","Straight with gradient","Clear and sunny",441,834,1226,628,2
"March","2015","Straight with gradient","Overcast, cloudy but no precipitation",93,170,255,128,0
"March","2015","Straight with gradient","Raining",75,133,183,97,1
"March","2015","Straight with gradient","Snowing, not including drifting snow",83,143,218,121,0
"March","2015","Straight with gradient","Freezing rain, sleet, hail",7,12,16,10,0
"March","2015","Straight with gradient","Visibility limitation",18,33,40,27,0
"March","2015","Straight with gradient","Strong wind",4,6,10,5,0
"March","2015","Straight with gradient","Other",1,1,5,5,0
"March","2015","Straight with gradient","Unknown",2,3,4,3,0
"March","2015","Curved and level","Clear and sunny",350,554,769,455,7
"March","2015","Curved and level","Overcast, cloudy but no precipitation",76,116,147,98,1
"March","2015","Curved and level","Raining",28,42,61,39,0
"March","2015","Curved and level","Snowing, not including drifting snow",82,119,193,111,1
"March","2015","Curved and level","Freezing rain, sleet, hail",6,8,11,9,0
"March","2015","Curved and level","Visibility limitation",29,45,66,48,0
"March","2015","Curved and level","Strong wind",8,11,14,10,0
"March","2015","Curved and level","Other",1,2,4,1,0
"March","2015","Curved and level","Unknown",11,22,26,16,1
"March","2015","Curved with gradient","Clear and sunny",146,223,329,203,2
"March","2015","Curved with gradient","Overcast, cloudy but no precipitation",53,78,114,71,1
"March","2015","Curved with gradient","Raining",41,59,87,57,1
"March","2015","Curved with gradient","Snowing, not including drifting snow",40,65,103,55,0
"March","2015","Curved with gradient","Freezing rain, sleet, hail",1,1,1,1,0
"March","2015","Curved with gradient","Visibility limitation",8,21,39,12,0
"March","2015","Curved with gradient","Strong wind",2,7,10,7,0
"March","2015","Curved with gradient","Other",0,0,0,0,0
"March","2015","Curved with gradient","Unknown",7,11,13,9,0
"March","2015","Top of hill or gradient","Clear and sunny",67,122,184,89,0
"March","2015","Top of hill or gradient","Overcast, cloudy but no precipitation",17,27,38,25,0
"March","2015","Top of hill or gradient","Raining",5,9,13,8,0
"March","2015","Top of hill or gradient","Snowing, not including drifting snow",18,31,49,26,0
"March","2015","Top of hill or gradient","Freezing rain, sleet, hail",1,3,3,1,0
"March","2015","Top of hill or gradient","Visibility limitation",5,24,35,15,0
"March","2015","Top of hill or gradient","Strong wind",0,0,0,0,0
"March","2015","Top of hill or gradient","Other",0,0,0,0,0
"March","2015","Top of hill or gradient","Unknown",1,3,3,1,0
"March","2015","Bottom of hill or gradient","Clear and sunny",39,68,117,61,2
"March","2015","Bottom of hill or gradient","Overcast, cloudy but no precipitation",20,32,52,33,0
"March","2015","Bottom of hill or gradient","Raining",2,2,2,2,0
"March","2015","Bottom of hill or gradient","Snowing, not including drifting snow",20,33,56,32,0
"March","2015","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"March","2015","Bottom of hill or gradient","Visibility limitation",6,13,19,12,1
"March","2015","Bottom of hill or gradient","Strong wind",1,1,1,1,0
"March","2015","Bottom of hill or gradient","Other",0,0,0,0,0
"March","2015","Bottom of hill or gradient","Unknown",1,1,1,1,0
"March","2015","Other","Clear and sunny",11,19,25,15,0
"March","2015","Other","Overcast, cloudy but no precipitation",8,12,17,9,0
"March","2015","Other","Raining",0,0,0,0,0
"March","2015","Other","Snowing, not including drifting snow",4,5,7,4,0
"March","2015","Other","Freezing rain, sleet, hail",0,0,0,0,0
"March","2015","Other","Visibility limitation",1,2,2,2,0
"March","2015","Other","Strong wind",0,0,0,0,0
"March","2015","Other","Other",0,0,0,0,0
"March","2015","Other","Unknown",6,8,13,6,0
"March","2015","Unknown","Clear and sunny",414,768,1123,513,1
"March","2015","Unknown","Overcast, cloudy but no precipitation",9,12,20,12,0
"March","2015","Unknown","Raining",22,34,58,26,0
"March","2015","Unknown","Snowing, not including drifting snow",17,29,45,20,0
"March","2015","Unknown","Freezing rain, sleet, hail",1,3,4,2,0
"March","2015","Unknown","Visibility limitation",3,4,7,3,0
"March","2015","Unknown","Strong wind",1,2,2,1,0
"March","2015","Unknown","Other",3,7,10,5,0
"March","2015","Unknown","Unknown",30,47,58,33,0
"March","2016","Straight and level","Clear and sunny",3821,7161,10232,5216,38
"March","2016","Straight and level","Overcast, cloudy but no precipitation",553,1018,1396,728,11
"March","2016","Straight and level","Raining",662,1164,1729,867,13
"March","2016","Straight and level","Snowing, not including drifting snow",420,747,1080,585,4
"March","2016","Straight and level","Freezing rain, sleet, hail",108,174,239,138,3
"March","2016","Straight and level","Visibility limitation",109,199,259,151,1
"March","2016","Straight and level","Strong wind",29,46,70,41,2
"March","2016","Straight and level","Other",11,18,27,14,1
"March","2016","Straight and level","Unknown",54,105,157,69,0
"March","2016","Straight with gradient","Clear and sunny",416,776,1162,578,8
"March","2016","Straight with gradient","Overcast, cloudy but no precipitation",99,175,253,132,4
"March","2016","Straight with gradient","Raining",97,177,264,124,10
"March","2016","Straight with gradient","Snowing, not including drifting snow",62,103,153,92,1
"March","2016","Straight with gradient","Freezing rain, sleet, hail",15,19,34,26,0
"March","2016","Straight with gradient","Visibility limitation",14,22,30,18,0
"March","2016","Straight with gradient","Strong wind",1,1,1,1,0
"March","2016","Straight with gradient","Other",1,2,3,1,0
"March","2016","Straight with gradient","Unknown",2,4,4,3,0
"March","2016","Curved and level","Clear and sunny",352,531,765,439,17
"March","2016","Curved and level","Overcast, cloudy but no precipitation",92,126,169,113,3
"March","2016","Curved and level","Raining",42,63,90,58,1
"March","2016","Curved and level","Snowing, not including drifting snow",79,118,182,116,0
"March","2016","Curved and level","Freezing rain, sleet, hail",17,23,32,22,1
"March","2016","Curved and level","Visibility limitation",24,38,55,33,0
"March","2016","Curved and level","Strong wind",3,5,7,4,0
"March","2016","Curved and level","Other",0,0,0,0,0
"March","2016","Curved and level","Unknown",7,12,17,12,0
"March","2016","Curved with gradient","Clear and sunny",149,220,317,202,5
"March","2016","Curved with gradient","Overcast, cloudy but no precipitation",57,78,112,78,1
"March","2016","Curved with gradient","Raining",41,56,83,59,1
"March","2016","Curved with gradient","Snowing, not including drifting snow",40,58,76,45,0
"March","2016","Curved with gradient","Freezing rain, sleet, hail",8,9,16,8,0
"March","2016","Curved with gradient","Visibility limitation",7,9,9,8,0
"March","2016","Curved with gradient","Strong wind",1,6,8,5,0
"March","2016","Curved with gradient","Other",0,0,0,0,0
"March","2016","Curved with gradient","Unknown",1,1,1,1,0
"March","2016","Top of hill or gradient","Clear and sunny",50,83,133,72,0
"March","2016","Top of hill or gradient","Overcast, cloudy but no precipitation",13,20,27,16,1
"March","2016","Top of hill or gradient","Raining",4,11,13,6,0
"March","2016","Top of hill or gradient","Snowing, not including drifting snow",17,28,40,25,0
"March","2016","Top of hill or gradient","Freezing rain, sleet, hail",1,1,1,1,0
"March","2016","Top of hill or gradient","Visibility limitation",4,9,14,10,0
"March","2016","Top of hill or gradient","Strong wind",1,2,4,4,0
"March","2016","Top of hill or gradient","Other",1,1,2,1,0
"March","2016","Top of hill or gradient","Unknown",1,2,2,1,0
"March","2016","Bottom of hill or gradient","Clear and sunny",42,74,114,65,0
"March","2016","Bottom of hill or gradient","Overcast, cloudy but no precipitation",15,22,37,23,0
"March","2016","Bottom of hill or gradient","Raining",10,15,23,11,0
"March","2016","Bottom of hill or gradient","Snowing, not including drifting snow",17,32,73,29,0
"March","2016","Bottom of hill or gradient","Freezing rain, sleet, hail",2,4,4,2,0
"March","2016","Bottom of hill or gradient","Visibility limitation",1,2,3,1,0
"March","2016","Bottom of hill or gradient","Strong wind",2,4,5,4,0
"March","2016","Bottom of hill or gradient","Other",0,0,0,0,0
"March","2016","Bottom of hill or gradient","Unknown",1,1,3,2,0
"March","2016","Other","Clear and sunny",5,6,12,7,0
"March","2016","Other","Overcast, cloudy but no precipitation",2,2,2,1,1
"March","2016","Other","Raining",0,0,0,0,0
"March","2016","Other","Snowing, not including drifting snow",1,2,3,2,0
"March","2016","Other","Freezing rain, sleet, hail",0,0,0,0,0
"March","2016","Other","Visibility limitation",0,0,0,0,0
"March","2016","Other","Strong wind",0,0,0,0,0
"March","2016","Other","Other",0,0,0,0,0
"March","2016","Other","Unknown",5,8,11,5,0
"March","2016","Unknown","Clear and sunny",282,530,790,359,3
"March","2016","Unknown","Overcast, cloudy but no precipitation",12,20,28,14,0
"March","2016","Unknown","Raining",25,45,67,34,0
"March","2016","Unknown","Snowing, not including drifting snow",20,32,56,26,0
"March","2016","Unknown","Freezing rain, sleet, hail",3,5,7,5,0
"March","2016","Unknown","Visibility limitation",4,6,11,4,1
"March","2016","Unknown","Strong wind",1,2,3,1,0
"March","2016","Unknown","Other",2,4,4,2,0
"March","2016","Unknown","Unknown",26,49,74,33,2
"March","2017","Straight and level","Clear and sunny",3708,6914,9744,4936,28
"March","2017","Straight and level","Overcast, cloudy but no precipitation",538,982,1369,697,5
"March","2017","Straight and level","Raining",605,1103,1575,787,6
"March","2017","Straight and level","Snowing, not including drifting snow",617,1142,1607,861,8
"March","2017","Straight and level","Freezing rain, sleet, hail",67,107,142,88,1
"March","2017","Straight and level","Visibility limitation",210,429,565,296,6
"March","2017","Straight and level","Strong wind",53,94,120,70,1
"March","2017","Straight and level","Other",12,21,29,15,0
"March","2017","Straight and level","Unknown",53,101,132,66,1
"March","2017","Straight with gradient","Clear and sunny",322,602,875,472,12
"March","2017","Straight with gradient","Overcast, cloudy but no precipitation",101,200,286,140,4
"March","2017","Straight with gradient","Raining",84,149,208,113,0
"March","2017","Straight with gradient","Snowing, not including drifting snow",100,162,236,133,0
"March","2017","Straight with gradient","Freezing rain, sleet, hail",10,14,21,12,0
"March","2017","Straight with gradient","Visibility limitation",23,41,47,27,0
"March","2017","Straight with gradient","Strong wind",3,4,5,3,0
"March","2017","Straight with gradient","Other",2,3,3,1,1
"March","2017","Straight with gradient","Unknown",3,8,8,3,0
"March","2017","Curved and level","Clear and sunny",321,499,692,422,12
"March","2017","Curved and level","Overcast, cloudy but no precipitation",74,100,140,102,1
"March","2017","Curved and level","Raining",52,64,81,60,1
"March","2017","Curved and level","Snowing, not including drifting snow",110,171,253,137,2
"March","2017","Curved and level","Freezing rain, sleet, hail",21,27,35,28,0
"March","2017","Curved and level","Visibility limitation",31,48,71,40,2
"March","2017","Curved and level","Strong wind",8,10,17,10,0
"March","2017","Curved and level","Other",1,1,1,1,0
"March","2017","Curved and level","Unknown",8,13,18,10,0
"March","2017","Curved with gradient","Clear and sunny",136,216,308,176,10
"March","2017","Curved with gradient","Overcast, cloudy but no precipitation",53,78,97,69,2
"March","2017","Curved with gradient","Raining",42,58,79,48,2
"March","2017","Curved with gradient","Snowing, not including drifting snow",68,102,136,95,6
"March","2017","Curved with gradient","Freezing rain, sleet, hail",6,6,13,7,0
"March","2017","Curved with gradient","Visibility limitation",12,16,23,18,0
"March","2017","Curved with gradient","Strong wind",4,9,11,8,0
"March","2017","Curved with gradient","Other",0,0,0,0,0
"March","2017","Curved with gradient","Unknown",2,2,2,2,0
"March","2017","Top of hill or gradient","Clear and sunny",49,92,133,67,1
"March","2017","Top of hill or gradient","Overcast, cloudy but no precipitation",11,15,26,13,1
"March","2017","Top of hill or gradient","Raining",8,15,18,12,0
"March","2017","Top of hill or gradient","Snowing, not including drifting snow",18,32,49,29,0
"March","2017","Top of hill or gradient","Freezing rain, sleet, hail",3,3,3,3,0
"March","2017","Top of hill or gradient","Visibility limitation",5,21,22,8,0
"March","2017","Top of hill or gradient","Strong wind",2,3,7,3,0
"March","2017","Top of hill or gradient","Other",0,0,0,0,0
"March","2017","Top of hill or gradient","Unknown",0,0,0,0,0
"March","2017","Bottom of hill or gradient","Clear and sunny",32,56,73,38,1
"March","2017","Bottom of hill or gradient","Overcast, cloudy but no precipitation",13,21,36,17,1
"March","2017","Bottom of hill or gradient","Raining",4,5,6,5,0
"March","2017","Bottom of hill or gradient","Snowing, not including drifting snow",12,26,44,18,1
"March","2017","Bottom of hill or gradient","Freezing rain, sleet, hail",2,3,3,2,0
"March","2017","Bottom of hill or gradient","Visibility limitation",5,11,11,5,0
"March","2017","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"March","2017","Bottom of hill or gradient","Other",0,0,0,0,0
"March","2017","Bottom of hill or gradient","Unknown",0,0,0,0,0
"March","2017","Other","Clear and sunny",9,13,15,9,0
"March","2017","Other","Overcast, cloudy but no precipitation",2,3,3,2,0
"March","2017","Other","Raining",2,4,4,2,0
"March","2017","Other","Snowing, not including drifting snow",3,6,11,4,0
"March","2017","Other","Freezing rain, sleet, hail",0,0,0,0,0
"March","2017","Other","Visibility limitation",1,3,4,2,0
"March","2017","Other","Strong wind",0,0,0,0,0
"March","2017","Other","Other",1,1,1,1,0
"March","2017","Other","Unknown",2,3,5,3,0
"March","2017","Unknown","Clear and sunny",288,574,787,346,5
"March","2017","Unknown","Overcast, cloudy but no precipitation",13,23,29,21,0
"March","2017","Unknown","Raining",12,19,28,15,0
"March","2017","Unknown","Snowing, not including drifting snow",63,114,164,76,0
"March","2017","Unknown","Freezing rain, sleet, hail",1,1,2,2,0
"March","2017","Unknown","Visibility limitation",3,5,7,3,0
"March","2017","Unknown","Strong wind",1,3,3,1,0
"March","2017","Unknown","Other",3,4,6,3,0
"March","2017","Unknown","Unknown",37,61,80,46,0
"March","2018","Straight and level","Clear and sunny",3860,7186,10203,5196,51
"March","2018","Straight and level","Overcast, cloudy but no precipitation",577,1058,1503,760,12
"March","2018","Straight and level","Raining",300,541,796,397,2
"March","2018","Straight and level","Snowing, not including drifting snow",677,1190,1674,925,9
"March","2018","Straight and level","Freezing rain, sleet, hail",26,44,54,37,0
"March","2018","Straight and level","Visibility limitation",140,263,372,214,2
"March","2018","Straight and level","Strong wind",32,44,57,42,0
"March","2018","Straight and level","Other",8,17,25,10,0
"March","2018","Straight and level","Unknown",54,86,119,65,1
"March","2018","Straight with gradient","Clear and sunny",403,749,1077,564,4
"March","2018","Straight with gradient","Overcast, cloudy but no precipitation",87,156,260,123,0
"March","2018","Straight with gradient","Raining",49,94,148,71,5
"March","2018","Straight with gradient","Snowing, not including drifting snow",86,146,207,116,2
"March","2018","Straight with gradient","Freezing rain, sleet, hail",7,10,13,9,0
"March","2018","Straight with gradient","Visibility limitation",11,19,30,17,0
"March","2018","Straight with gradient","Strong wind",3,5,6,4,0
"March","2018","Straight with gradient","Other",1,1,2,1,0
"March","2018","Straight with gradient","Unknown",9,12,19,11,1
"March","2018","Curved and level","Clear and sunny",340,516,705,439,7
"March","2018","Curved and level","Overcast, cloudy but no precipitation",66,88,122,86,0
"March","2018","Curved and level","Raining",27,40,58,34,1
"March","2018","Curved and level","Snowing, not including drifting snow",113,158,207,137,2
"March","2018","Curved and level","Freezing rain, sleet, hail",9,12,19,11,0
"March","2018","Curved and level","Visibility limitation",14,23,30,24,0
"March","2018","Curved and level","Strong wind",6,7,9,8,0
"March","2018","Curved and level","Other",3,7,10,5,0
"March","2018","Curved and level","Unknown",7,10,13,9,0
"March","2018","Curved with gradient","Clear and sunny",138,209,308,193,5
"March","2018","Curved with gradient","Overcast, cloudy but no precipitation",53,79,114,76,3
"March","2018","Curved with gradient","Raining",18,26,30,21,0
"March","2018","Curved with gradient","Snowing, not including drifting snow",63,104,158,90,2
"March","2018","Curved with gradient","Freezing rain, sleet, hail",4,4,8,6,0
"March","2018","Curved with gradient","Visibility limitation",4,5,9,6,0
"March","2018","Curved with gradient","Strong wind",3,5,5,3,0
"March","2018","Curved with gradient","Other",0,0,0,0,0
"March","2018","Curved with gradient","Unknown",1,1,1,1,0
"March","2018","Top of hill or gradient","Clear and sunny",47,83,123,60,1
"March","2018","Top of hill or gradient","Overcast, cloudy but no precipitation",16,29,46,23,0
"March","2018","Top of hill or gradient","Raining",2,4,6,4,0
"March","2018","Top of hill or gradient","Snowing, not including drifting snow",12,23,26,13,0
"March","2018","Top of hill or gradient","Freezing rain, sleet, hail",1,2,2,1,0
"March","2018","Top of hill or gradient","Visibility limitation",1,2,2,1,0
"March","2018","Top of hill or gradient","Strong wind",2,3,8,8,0
"March","2018","Top of hill or gradient","Other",2,2,5,5,0
"March","2018","Top of hill or gradient","Unknown",2,3,6,3,0
"March","2018","Bottom of hill or gradient","Clear and sunny",29,56,83,45,1
"March","2018","Bottom of hill or gradient","Overcast, cloudy but no precipitation",13,24,35,19,0
"March","2018","Bottom of hill or gradient","Raining",4,5,6,5,0
"March","2018","Bottom of hill or gradient","Snowing, not including drifting snow",11,15,19,14,0
"March","2018","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"March","2018","Bottom of hill or gradient","Visibility limitation",2,4,6,4,0
"March","2018","Bottom of hill or gradient","Strong wind",2,3,3,3,0
"March","2018","Bottom of hill or gradient","Other",1,3,3,1,0
"March","2018","Bottom of hill or gradient","Unknown",0,0,0,0,0
"March","2018","Other","Clear and sunny",14,24,33,15,0
"March","2018","Other","Overcast, cloudy but no precipitation",4,7,8,5,0
"March","2018","Other","Raining",0,0,0,0,0
"March","2018","Other","Snowing, not including drifting snow",1,1,2,1,0
"March","2018","Other","Freezing rain, sleet, hail",0,0,0,0,0
"March","2018","Other","Visibility limitation",2,2,2,2,0
"March","2018","Other","Strong wind",1,1,2,1,0
"March","2018","Other","Other",1,1,1,1,0
"March","2018","Other","Unknown",4,7,9,4,0
"March","2018","Unknown","Clear and sunny",308,597,839,402,1
"March","2018","Unknown","Overcast, cloudy but no precipitation",17,25,31,19,0
"March","2018","Unknown","Raining",6,9,15,7,0
"March","2018","Unknown","Snowing, not including drifting snow",55,112,152,70,0
"March","2018","Unknown","Freezing rain, sleet, hail",0,0,0,0,0
"March","2018","Unknown","Visibility limitation",0,0,0,0,0
"March","2018","Unknown","Strong wind",2,3,5,2,0
"March","2018","Unknown","Other",1,2,2,1,0
"March","2018","Unknown","Unknown",43,68,96,49,3
"March","2019","Straight and level","Clear and sunny",4015,7500,10532,5419,47
"March","2019","Straight and level","Overcast, cloudy but no precipitation",367,652,927,496,4
"March","2019","Straight and level","Raining",266,464,695,356,0
"March","2019","Straight and level","Snowing, not including drifting snow",376,678,968,521,3
"March","2019","Straight and level","Freezing rain, sleet, hail",39,65,95,54,0
"March","2019","Straight and level","Visibility limitation",105,182,259,149,0
"March","2019","Straight and level","Strong wind",25,40,55,40,0
"March","2019","Straight and level","Other",10,18,22,11,1
"March","2019","Straight and level","Unknown",47,75,111,66,0
"March","2019","Straight with gradient","Clear and sunny",393,730,1080,540,7
"March","2019","Straight with gradient","Overcast, cloudy but no precipitation",53,95,159,66,1
"March","2019","Straight with gradient","Raining",30,51,85,41,6
"March","2019","Straight with gradient","Snowing, not including drifting snow",71,127,201,100,0
"March","2019","Straight with gradient","Freezing rain, sleet, hail",9,10,14,11,0
"March","2019","Straight with gradient","Visibility limitation",17,32,47,27,0
"March","2019","Straight with gradient","Strong wind",0,0,0,0,0
"March","2019","Straight with gradient","Other",2,7,13,2,0
"March","2019","Straight with gradient","Unknown",4,6,14,4,0
"March","2019","Curved and level","Clear and sunny",352,536,753,448,8
"March","2019","Curved and level","Overcast, cloudy but no precipitation",55,81,115,73,0
"March","2019","Curved and level","Raining",18,26,38,26,0
"March","2019","Curved and level","Snowing, not including drifting snow",72,100,144,100,0
"March","2019","Curved and level","Freezing rain, sleet, hail",9,11,19,11,0
"March","2019","Curved and level","Visibility limitation",19,27,33,23,0
"March","2019","Curved and level","Strong wind",3,3,4,3,0
"March","2019","Curved and level","Other",2,4,5,2,0
"March","2019","Curved and level","Unknown",10,16,19,12,0
"March","2019","Curved with gradient","Clear and sunny",147,234,350,199,8
"March","2019","Curved with gradient","Overcast, cloudy but no precipitation",40,54,82,56,0
"March","2019","Curved with gradient","Raining",10,12,17,13,0
"March","2019","Curved with gradient","Snowing, not including drifting snow",38,56,82,45,1
"March","2019","Curved with gradient","Freezing rain, sleet, hail",5,6,14,7,0
"March","2019","Curved with gradient","Visibility limitation",3,3,4,4,0
"March","2019","Curved with gradient","Strong wind",1,1,2,1,0
"March","2019","Curved with gradient","Other",1,1,2,1,0
"March","2019","Curved with gradient","Unknown",3,4,8,3,0
"March","2019","Top of hill or gradient","Clear and sunny",57,102,133,76,1
"March","2019","Top of hill or gradient","Overcast, cloudy but no precipitation",16,23,38,19,0
"March","2019","Top of hill or gradient","Raining",8,10,17,9,0
"March","2019","Top of hill or gradient","Snowing, not including drifting snow",11,17,24,12,0
"March","2019","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"March","2019","Top of hill or gradient","Visibility limitation",2,6,13,2,0
"March","2019","Top of hill or gradient","Strong wind",1,2,4,4,0
"March","2019","Top of hill or gradient","Other",0,0,0,0,0
"March","2019","Top of hill or gradient","Unknown",2,2,2,2,0
"March","2019","Bottom of hill or gradient","Clear and sunny",48,87,153,82,2
"March","2019","Bottom of hill or gradient","Overcast, cloudy but no precipitation",6,9,17,10,0
"March","2019","Bottom of hill or gradient","Raining",0,0,0,0,0
"March","2019","Bottom of hill or gradient","Snowing, not including drifting snow",14,27,35,15,0
"March","2019","Bottom of hill or gradient","Freezing rain, sleet, hail",2,3,4,3,0
"March","2019","Bottom of hill or gradient","Visibility limitation",4,9,15,7,1
"March","2019","Bottom of hill or gradient","Strong wind",1,2,2,2,0
"March","2019","Bottom of hill or gradient","Other",0,0,0,0,0
"March","2019","Bottom of hill or gradient","Unknown",0,0,0,0,0
"March","2019","Other","Clear and sunny",5,8,9,5,0
"March","2019","Other","Overcast, cloudy but no precipitation",5,9,10,6,0
"March","2019","Other","Raining",0,0,0,0,0
"March","2019","Other","Snowing, not including drifting snow",0,0,0,0,0
"March","2019","Other","Freezing rain, sleet, hail",0,0,0,0,0
"March","2019","Other","Visibility limitation",2,2,3,2,0
"March","2019","Other","Strong wind",0,0,0,0,0
"March","2019","Other","Other",2,3,5,3,0
"March","2019","Other","Unknown",9,16,20,9,0
"March","2019","Unknown","Clear and sunny",309,595,803,387,2
"March","2019","Unknown","Overcast, cloudy but no precipitation",7,10,14,9,0
"March","2019","Unknown","Raining",1,1,2,1,0
"March","2019","Unknown","Snowing, not including drifting snow",23,53,65,25,0
"March","2019","Unknown","Freezing rain, sleet, hail",0,0,0,0,0
"March","2019","Unknown","Visibility limitation",1,1,1,1,0
"March","2019","Unknown","Strong wind",1,2,3,1,0
"March","2019","Unknown","Other",0,0,0,0,0
