Month,Year,RoadSurface,Weather,NoofCollisions,NoofInjured,NoofFatalities,Season
February,2020,"Snow (fresh, loose snow)",Strong wind,13,17,0,Winter
February,2020,"Snow (fresh, loose snow)",Clear and sunny,14,19,0,Winter
February,2020,"Slush, wet snow",Clear and sunny,68,85,2,Winter
February,2020,"Slush, wet snow","Overcast, cloudy but no precipitation",40,57,0,Winter
February,2020,"Slush, wet snow",Raining,9,10,0,Winter
February,2020,"Slush, wet snow","Snowing, not including drifting snow",129,169,1,Winter
February,2020,"Slush, wet snow","Freezing rain, sleet, hail",15,23,0,Winter
February,2020,"Slush, wet snow",Visibility limitation,5,5,0,Winter
February,2020,"Slush, wet snow",Strong wind,2,3,0,Winter
February,2020,"Slush, wet snow",Other,1,1,0,Winter
February,2020,"Slush, wet snow",Clear and sunny,1,1,0,Winter
February,2020,Icy,Clear and sunny,458,589,3,Winter
February,2020,Icy,"Overcast, cloudy but no precipitation",141,190,1,Winter
February,2020,Icy,Raining,4,5,0,Winter
February,2020,Icy,"Snowing, not including drifting snow",272,404,7,Winter
February,2020,Icy,"Freezing rain, sleet, hail",19,23,0,Winter
February,2020,Icy,Visibility limitation,48,61,1,Winter
February,2020,Icy,Strong wind,26,37,0,Winter
February,2020,Icy,Other,2,3,0,Winter
February,2020,Icy,Clear and sunny,19,26,0,Winter
February,2020,Sand/gravel/dirt,Clear and sunny,8,9,0,Winter
February,2020,Sand/gravel/dirt,"Overcast, cloudy but no precipitation",1,1,0,Winter
February,2020,Muddy,Clear and sunny,3,3,0,Winter
February,2020,Other,Clear and sunny,343,444,4,Winter
February,2020,Other,"Overcast, cloudy but no precipitation",4,4,0,Winter
February,2020,Other,Raining,2,3,0,Winter
February,2020,Other,"Snowing, not including drifting snow",167,237,6,Winter
February,2020,Other,"Freezing rain, sleet, hail",4,7,0,Winter
February,2020,Other,Visibility limitation,4,4,0,Winter
February,2020,Other,Strong wind,11,19,2,Winter
February,2020,Other,Other,3,3,0,Winter
February,2020,Other,Clear and sunny,14,15,0,Winter
February,2020,Wet,Clear and sunny,26,28,0,Winter
February,2020,Wet,"Overcast, cloudy but no precipitation",6,7,0,Winter
February,2020,Wet,Raining,1,1,0,Winter
February,2020,Wet,"Snowing, not including drifting snow",4,5,0,Winter
February,2020,Wet,Visibility limitation,1,1,0,Winter
February,2020,Wet,Other,1,1,0,Winter
February,2020,Wet,Clear and sunny,53,66,4,Winter
February,2021,"Dry, normal",Clear and sunny,1896,2481,29,Winter
February,2021,"Dry, normal","Overcast, cloudy but no precipitation",193,254,2,Winter
February,2021,"Dry, normal","Snowing, not including drifting snow",1,2,0,Winter
February,2021,"Dry, normal","Freezing rain, sleet, hail",1,2,0,Winter
February,2021,"Dry, normal",Visibility limitation,2,2,0,Winter
February,2021,"Dry, normal",Strong wind,7,8,0,Winter
February,2021,"Dry, normal",Other,1,2,0,Winter
February,2021,"Dry, normal",Clear and sunny,11,14,0,Winter
February,2021,Wet,Clear and sunny,490,632,5,Winter
February,2021,Wet,"Overcast, cloudy but no precipitation",151,194,1,Winter
February,2021,Wet,Raining,87,113,0,Winter
February,2021,Wet,"Snowing, not including drifting snow",101,129,2,Winter
February,2021,Wet,"Freezing rain, sleet, hail",1,1,0,Winter
February,2021,Wet,Visibility limitation,7,7,0,Winter
February,2021,Wet,Strong wind,4,4,0,Winter
February,2021,Wet,Other,1,2,0,Winter
February,2021,Wet,Clear and sunny,4,4,0,Winter
February,2021,"Snow (fresh, loose snow)",Clear and sunny,221,278,3,Winter
February,2021,"Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",82,100,2,Winter
February,2021,"Snow (fresh, loose snow)",Raining,3,3,0,Winter
February,2021,"Snow (fresh, loose snow)","Snowing, not including drifting snow",581,748,9,Winter
February,2021,"Snow (fresh, loose snow)","Freezing rain, sleet, hail",3,3,0,Winter
February,2021,"Snow (fresh, loose snow)",Visibility limitation,27,37,1,Winter
February,2021,"Snow (fresh, loose snow)",Strong wind,9,13,0,Winter
February,2021,"Snow (fresh, loose snow)",Other,1,1,0,Winter
February,2021,"Snow (fresh, loose snow)",Clear and sunny,10,11,0,Winter
February,2021,"Slush, wet snow",Clear and sunny,73,93,2,Winter
February,2021,"Slush, wet snow","Overcast, cloudy but no precipitation",44,60,0,Winter
February,2021,"Slush, wet snow",Raining,8,13,0,Winter
February,2021,"Slush, wet snow","Snowing, not including drifting snow",112,147,2,Winter
February,2021,"Slush, wet snow","Freezing rain, sleet, hail",2,3,0,Winter
February,2021,"Slush, wet snow",Visibility limitation,2,2,0,Winter
February,2021,"Slush, wet snow",Strong wind,5,5,0,Winter
February,2021,"Slush, wet snow",Other,1,1,0,Winter
February,2021,"Slush, wet snow",Clear and sunny,1,2,0,Winter
February,2021,Icy,Clear and sunny,446,579,5,Winter
February,2021,Icy,"Overcast, cloudy but no precipitation",108,144,4,Winter
February,2021,Icy,Raining,2,2,0,Winter
February,2021,Icy,"Snowing, not including drifting snow",201,252,5,Winter
February,2021,Icy,"Freezing rain, sleet, hail",16,25,0,Winter
February,2021,Icy,Visibility limitation,29,40,1,Winter
February,2021,Icy,Strong wind,17,20,0,Winter
February,2021,Icy,Other,1,2,0,Winter
February,2021,Icy,Clear and sunny,20,27,0,Winter
February,2021,Sand/gravel/dirt,Clear and sunny,3,5,0,Winter
February,2021,Sand/gravel/dirt,"Overcast, cloudy but no precipitation",2,2,0,Winter
February,2021,Sand/gravel/dirt,Strong wind,1,1,0,Winter
February,2021,Sand/gravel/dirt,Other,1,1,0,Winter
February,2021,Muddy,Clear and sunny,3,3,0,Winter
February,2021,Muddy,"Snowing, not including drifting snow",2,2,0,Winter
February,2021,Other,Clear and sunny,297,376,3,Winter
February,2021,Other,"Overcast, cloudy but no precipitation",2,2,0,Winter
February,2021,Other,Raining,1,1,0,Winter
February,2021,Other,"Snowing, not including drifting snow",168,212,3,Winter
February,2021,Other,"Freezing rain, sleet, hail",2,3,0,Winter
February,2021,Other,Visibility limitation,6,6,0,Winter
February,2021,Other,Strong wind,15,18,0,Winter
February,2021,Other,Other,4,5,0,Winter
February,2021,Other,Clear and sunny,9,9,0,Winter
February,2021,Wet,Clear and sunny,18,24,0,Winter
February,2021,Wet,"Overcast, cloudy but no precipitation",6,6,0,Winter
February,2021,Wet,Raining,2,2,0,Winter
February,2021,Wet,"Snowing, not including drifting snow",3,3,0,Winter
February,2021,Wet,Strong wind,1,2,0,Winter
February,2021,Wet,Clear and sunny,38,42,4,Winter
March,2010,"Dry, normal",Clear and sunny,5509,7594,89,Spring
March,2010,"Dry, normal","Overcast, cloudy but no precipitation",547,731,12,Spring
March,2010,"Dry, normal",Raining,6,7,1,Spring
March,2010,"Dry, normal","Snowing, not including drifting snow",2,2,0,Spring
March,2010,"Dry, normal",Visibility limitation,28,34,4,Spring
March,2010,"Dry, normal",Strong wind,10,15,0,Spring
March,2010,"Dry, normal",Other,5,5,0,Spring
March,2010,"Dry, normal",Clear and sunny,9,8,1,Spring
March,2010,Wet,Clear and sunny,212,286,1,Spring
March,2010,Wet,"Overcast, cloudy but no precipitation",182,240,4,Spring
March,2010,Wet,Raining,670,961,7,Spring
March,2010,Wet,"Snowing, not including drifting snow",52,70,0,Spring
March,2010,Wet,"Freezing rain, sleet, hail",2,2,0,Spring
March,2010,Wet,Visibility limitation,33,61,2,Spring
March,2010,Wet,Strong wind,3,3,0,Spring
March,2010,Wet,Clear and sunny,4,4,0,Spring
March,2010,"Snow (fresh, loose snow)",Clear and sunny,30,36,2,Spring
March,2010,"Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",17,21,0,Spring
March,2010,"Snow (fresh, loose snow)","Snowing, not including drifting snow",96,125,2,Spring
March,2010,"Snow (fresh, loose snow)","Freezing rain, sleet, hail",1,2,0,Spring
March,2010,"Snow (fresh, loose snow)",Visibility limitation,21,27,1,Spring
March,2010,"Snow (fresh, loose snow)",Clear and sunny,1,1,0,Spring
March,2010,"Slush, wet snow",Clear and sunny,14,22,0,Spring
March,2010,"Slush, wet snow","Overcast, cloudy but no precipitation",12,17,0,Spring
March,2010,"Slush, wet snow","Snowing, not including drifting snow",65,92,2,Spring
March,2010,"Slush, wet snow","Freezing rain, sleet, hail",9,15,2,Spring
March,2010,"Slush, wet snow",Visibility limitation,9,12,0,Spring
March,2010,"Slush, wet snow",Strong wind,1,1,0,Spring
March,2010,Icy,Clear and sunny,110,139,0,Spring
March,2010,Icy,"Overcast, cloudy but no precipitation",40,49,0,Spring
March,2010,Icy,Raining,4,6,0,Spring
March,2010,Icy,"Snowing, not including drifting snow",33,41,1,Spring
March,2010,Icy,"Freezing rain, sleet, hail",11,15,0,Spring
March,2010,Icy,Visibility limitation,22,34,0,Spring
March,2010,Icy,Strong wind,2,3,0,Spring
March,2010,Icy,Clear and sunny,4,5,0,Spring
March,2010,Sand/gravel/dirt,Clear and sunny,27,33,1,Spring
March,2010,Sand/gravel/dirt,"Overcast, cloudy but no precipitation",7,9,0,Spring
March,2010,Sand/gravel/dirt,Raining,2,2,0,Spring
March,2010,Sand/gravel/dirt,Clear and sunny,1,1,0,Spring
March,2010,Muddy,Clear and sunny,12,17,0,Spring
March,2010,Muddy,"Overcast, cloudy but no precipitation",2,6,0,Spring
March,2010,Muddy,Raining,1,1,0,Spring
March,2010,Muddy,Visibility limitation,1,1,0,Spring
March,2010,Other,Clear and sunny,70,95,1,Spring
March,2010,Other,Raining,1,1,0,Spring
March,2010,Other,"Snowing, not including drifting snow",33,48,1,Spring
March,2010,Other,"Freezing rain, sleet, hail",4,7,0,Spring
March,2010,Other,Visibility limitation,5,18,0,Spring
March,2010,Other,Strong wind,1,1,0,Spring
March,2010,Other,Clear and sunny,2,2,0,Spring
March,2010,Wet,Clear and sunny,34,39,0,Spring
March,2010,Wet,"Overcast, cloudy but no precipitation",1,1,0,Spring
March,2010,Wet,Raining,2,4,0,Spring
March,2010,Wet,"Snowing, not including drifting snow",4,6,0,Spring
March,2010,Wet,"Freezing rain, sleet, hail",1,2,0,Spring
March,2010,Wet,Visibility limitation,2,2,0,Spring
March,2010,Wet,Clear and sunny,96,112,1,Spring
March,2011,"Dry, normal",Clear and sunny,3793,5191,55,Spring
March,2011,"Dry, normal","Overcast, cloudy but no precipitation",396,506,11,Spring
March,2011,"Dry, normal",Raining,1,1,0,Spring
March,2011,"Dry, normal","Snowing, not including drifting snow",11,14,0,Spring
March,2011,"Dry, normal","Freezing rain, sleet, hail",1,1,0,Spring
March,2011,"Dry, normal",Visibility limitation,16,21,0,Spring
March,2011,"Dry, normal",Strong wind,8,8,0,Spring
March,2011,"Dry, normal",Other,3,6,0,Spring
March,2011,"Dry, normal",Clear and sunny,16,22,0,Spring
March,2011,Wet,Clear and sunny,529,700,4,Spring
March,2011,Wet,"Overcast, cloudy but no precipitation",262,344,5,Spring
March,2011,Wet,Raining,709,938,17,Spring
March,2011,Wet,"Snowing, not including drifting snow",105,146,1,Spring
March,2011,Wet,"Freezing rain, sleet, hail",7,10,2,Spring
March,2011,Wet,Visibility limitation,26,40,0,Spring
March,2011,Wet,Strong wind,3,2,1,Spring
March,2011,Wet,Other,7,10,0,Spring
March,2011,Wet,Clear and sunny,13,16,0,Spring
March,2011,"Snow (fresh, loose snow)",Clear and sunny,163,198,2,Spring
March,2011,"Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",54,72,0,Spring
March,2011,"Snow (fresh, loose snow)",Raining,9,13,0,Spring
March,2011,"Snow (fresh, loose snow)","Snowing, not including drifting snow",412,528,7,Spring
March,2011,"Snow (fresh, loose snow)","Freezing rain, sleet, hail",6,7,0,Spring
March,2011,"Snow (fresh, loose snow)",Visibility limitation,109,147,4,Spring
March,2011,"Snow (fresh, loose snow)",Strong wind,10,11,0,Spring
March,2011,"Snow (fresh, loose snow)",Other,1,1,0,Spring
March,2011,"Slush, wet snow",Clear and sunny,52,68,0,Spring
March,2011,"Slush, wet snow","Overcast, cloudy but no precipitation",30,42,0,Spring
March,2011,"Slush, wet snow",Raining,40,54,1,Spring
March,2011,"Slush, wet snow","Snowing, not including drifting snow",163,222,1,Spring
March,2011,"Slush, wet snow","Freezing rain, sleet, hail",17,21,0,Spring
March,2011,"Slush, wet snow",Visibility limitation,15,18,2,Spring
March,2011,"Slush, wet snow",Strong wind,3,4,0,Spring
March,2011,"Slush, wet snow",Clear and sunny,1,3,0,Spring
March,2011,Icy,Clear and sunny,463,607,4,Spring
March,2011,Icy,"Overcast, cloudy but no precipitation",153,200,2,Spring
March,2011,Icy,Raining,37,44,2,Spring
March,2011,Icy,"Snowing, not including drifting snow",201,267,1,Spring
March,2011,Icy,"Freezing rain, sleet, hail",49,63,1,Spring
March,2011,Icy,Visibility limitation,129,192,3,Spring
March,2011,Icy,Strong wind,38,49,0,Spring
March,2011,Icy,Other,3,3,0,Spring
March,2011,Icy,Clear and sunny,32,35,0,Spring
March,2011,Sand/gravel/dirt,Clear and sunny,19,23,0,Spring
March,2011,Sand/gravel/dirt,"Overcast, cloudy but no precipitation",2,2,0,Spring
March,2011,Sand/gravel/dirt,"Snowing, not including drifting snow",1,1,0,Spring
March,2011,Sand/gravel/dirt,Strong wind,1,1,0,Spring
March,2011,Sand/gravel/dirt,Other,1,0,1,Spring
March,2011,Sand/gravel/dirt,Clear and sunny,1,1,0,Spring
March,2011,Muddy,Clear and sunny,9,10,1,Spring
March,2011,Muddy,"Overcast, cloudy but no precipitation",1,1,0,Spring
March,2011,Muddy,"Snowing, not including drifting snow",1,1,0,Spring
March,2011,Flooded,Raining,1,1,0,Spring
March,2011,Other,Clear and sunny,394,507,1,Spring
March,2011,Other,"Overcast, cloudy but no precipitation",1,1,0,Spring
March,2011,Other,Raining,7,11,0,Spring
March,2011,Other,"Snowing, not including drifting snow",264,358,1,Spring
March,2011,Other,"Freezing rain, sleet, hail",13,19,0,Spring
March,2011,Other,Visibility limitation,17,24,0,Spring
March,2011,Other,Strong wind,5,9,0,Spring
March,2011,Other,Other,13,17,0,Spring
March,2011,Other,Clear and sunny,18,24,2,Spring
March,2011,Wet,Clear and sunny,20,24,0,Spring
March,2011,Wet,"Overcast, cloudy but no precipitation",2,2,0,Spring
March,2011,Wet,Raining,1,1,0,Spring
March,2011,Wet,"Snowing, not including drifting snow",2,4,0,Spring
March,2011,Wet,"Freezing rain, sleet, hail",2,4,0,Spring
March,2011,Wet,Strong wind,1,1,0,Spring
March,2011,Wet,Clear and sunny,67,82,1,Spring
March,2012,"Dry, normal",Clear and sunny,5101,6913,88,Spring
March,2012,"Dry, normal","Overcast, cloudy but no precipitation",462,636,5,Spring
March,2012,"Dry, normal",Raining,8,9,0,Spring
March,2012,"Dry, normal","Snowing, not including drifting snow",9,9,0,Spring
March,2012,"Dry, normal","Freezing rain, sleet, hail",1,1,0,Spring
March,2012,"Dry, normal",Visibility limitation,51,77,2,Spring
March,2012,"Dry, normal",Strong wind,20,24,4,Spring
March,2012,"Dry, normal",Other,6,8,0,Spring
March,2012,"Dry, normal",Clear and sunny,33,39,0,Spring
March,2012,Wet,Clear and sunny,394,521,10,Spring
March,2012,Wet,"Overcast, cloudy but no precipitation",296,393,6,Spring
March,2012,Wet,Raining,617,828,6,Spring
March,2012,Wet,"Snowing, not including drifting snow",110,145,3,Spring
March,2012,Wet,"Freezing rain, sleet, hail",13,14,0,Spring
March,2012,Wet,Visibility limitation,59,71,2,Spring
March,2012,Wet,Strong wind,12,13,0,Spring
March,2012,Wet,Other,2,3,0,Spring
March,2012,Wet,Clear and sunny,8,9,0,Spring
March,2012,"Snow (fresh, loose snow)",Clear and sunny,85,109,1,Spring
March,2012,"Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",52,114,2,Spring
March,2012,"Snow (fresh, loose snow)",Raining,1,5,0,Spring
March,2012,"Snow (fresh, loose snow)","Snowing, not including drifting snow",240,324,5,Spring
March,2012,"Snow (fresh, loose snow)","Freezing rain, sleet, hail",5,6,0,Spring
March,2012,"Snow (fresh, loose snow)",Visibility limitation,45,59,1,Spring
March,2012,"Snow (fresh, loose snow)",Strong wind,6,7,0,Spring
March,2012,"Snow (fresh, loose snow)",Other,1,1,0,Spring
March,2012,"Snow (fresh, loose snow)",Clear and sunny,5,4,1,Spring
March,2012,"Slush, wet snow",Clear and sunny,43,55,1,Spring
March,2012,"Slush, wet snow","Overcast, cloudy but no precipitation",34,41,0,Spring
March,2012,"Slush, wet snow",Raining,4,5,0,Spring
March,2012,"Slush, wet snow","Snowing, not including drifting snow",91,123,4,Spring
March,2012,"Slush, wet snow","Freezing rain, sleet, hail",13,19,0,Spring
March,2012,"Slush, wet snow",Visibility limitation,10,13,0,Spring
March,2012,"Slush, wet snow",Strong wind,1,1,0,Spring
March,2012,"Slush, wet snow",Clear and sunny,2,3,0,Spring
March,2012,Icy,Clear and sunny,269,337,4,Spring
March,2012,Icy,"Overcast, cloudy but no precipitation",86,118,0,Spring
March,2012,Icy,Raining,10,14,0,Spring
March,2012,Icy,"Snowing, not including drifting snow",152,196,0,Spring
March,2012,Icy,"Freezing rain, sleet, hail",54,77,3,Spring
March,2012,Icy,Visibility limitation,56,72,0,Spring
March,2012,Icy,Strong wind,12,17,1,Spring
March,2012,Icy,Other,1,1,0,Spring
March,2012,Icy,Clear and sunny,32,38,0,Spring
March,2012,Sand/gravel/dirt,Clear and sunny,42,49,0,Spring
March,2012,Sand/gravel/dirt,"Overcast, cloudy but no precipitation",12,16,0,Spring
March,2012,Sand/gravel/dirt,Raining,2,3,0,Spring
March,2012,Sand/gravel/dirt,"Snowing, not including drifting snow",2,2,1,Spring
March,2012,Sand/gravel/dirt,Visibility limitation,3,3,0,Spring
March,2012,Muddy,Clear and sunny,3,6,0,Spring
March,2012,Muddy,"Overcast, cloudy but no precipitation",3,3,0,Spring
March,2012,Muddy,Raining,1,1,0,Spring
March,2012,Oil,Clear and sunny,1,1,0,Spring
March,2012,Other,Clear and sunny,130,161,0,Spring
March,2012,Other,"Overcast, cloudy but no precipitation",1,1,0,Spring
March,2012,Other,Raining,5,5,0,Spring
March,2012,Other,"Snowing, not including drifting snow",202,274,2,Spring
March,2012,Other,"Freezing rain, sleet, hail",4,4,0,Spring
March,2012,Other,Visibility limitation,3,3,0,Spring
March,2012,Other,Strong wind,2,5,0,Spring
March,2012,Other,Other,5,7,0,Spring
March,2012,Other,Clear and sunny,2,3,0,Spring
March,2012,Wet,Clear and sunny,19,28,0,Spring
March,2012,Wet,"Overcast, cloudy but no precipitation",3,6,0,Spring
March,2012,Wet,"Snowing, not including drifting snow",4,6,0,Spring
March,2012,Wet,"Freezing rain, sleet, hail",2,3,0,Spring
March,2012,Wet,Visibility limitation,3,6,0,Spring
March,2012,Wet,Strong wind,2,2,0,Spring
March,2012,Wet,Clear and sunny,65,76,0,Spring
March,2013,"Dry, normal",Clear and sunny,4073,5645,47,Spring
March,2013,"Dry, normal","Overcast, cloudy but no precipitation",474,625,12,Spring
March,2013,"Dry, normal",Raining,5,5,0,Spring
March,2013,"Dry, normal","Snowing, not including drifting snow",8,9,0,Spring
March,2013,"Dry, normal",Visibility limitation,11,9,2,Spring
March,2013,"Dry, normal",Strong wind,2,3,0,Spring
March,2013,"Dry, normal",Other,6,7,0,Spring
March,2013,"Dry, normal",Clear and sunny,16,19,0,Spring
March,2013,Wet,Clear and sunny,516,727,9,Spring
March,2013,Wet,"Overcast, cloudy but no precipitation",262,370,3,Spring
March,2013,Wet,Raining,440,606,5,Spring
March,2013,Wet,"Snowing, not including drifting snow",181,259,1,Spring
March,2013,Wet,"Freezing rain, sleet, hail",5,7,0,Spring
March,2013,Wet,Visibility limitation,21,29,0,Spring
March,2013,Wet,Strong wind,4,8,0,Spring
March,2013,Wet,Other,3,3,0,Spring
March,2013,Wet,Clear and sunny,8,12,0,Spring
March,2013,"Snow (fresh, loose snow)",Clear and sunny,117,143,0,Spring
March,2013,"Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",57,74,1,Spring
March,2013,"Snow (fresh, loose snow)",Raining,2,3,0,Spring
March,2013,"Snow (fresh, loose snow)","Snowing, not including drifting snow",368,475,3,Spring
March,2013,"Snow (fresh, loose snow)","Freezing rain, sleet, hail",4,5,0,Spring
March,2013,"Snow (fresh, loose snow)",Visibility limitation,88,112,3,Spring
March,2013,"Snow (fresh, loose snow)",Strong wind,4,7,0,Spring
March,2013,"Snow (fresh, loose snow)",Clear and sunny,6,6,0,Spring
March,2013,"Slush, wet snow",Clear and sunny,44,57,0,Spring
March,2013,"Slush, wet snow","Overcast, cloudy but no precipitation",32,42,0,Spring
March,2013,"Slush, wet snow",Raining,3,4,0,Spring
March,2013,"Slush, wet snow","Snowing, not including drifting snow",99,135,2,Spring
March,2013,"Slush, wet snow","Freezing rain, sleet, hail",7,8,0,Spring
March,2013,"Slush, wet snow",Visibility limitation,5,6,0,Spring
March,2013,"Slush, wet snow",Strong wind,1,1,0,Spring
March,2013,Icy,Clear and sunny,372,478,4,Spring
March,2013,Icy,"Overcast, cloudy but no precipitation",106,132,2,Spring
March,2013,Icy,Raining,6,12,0,Spring
March,2013,Icy,"Snowing, not including drifting snow",230,289,0,Spring
March,2013,Icy,"Freezing rain, sleet, hail",27,42,0,Spring
March,2013,Icy,Visibility limitation,92,121,2,Spring
March,2013,Icy,Strong wind,32,43,0,Spring
March,2013,Icy,Other,1,1,0,Spring
March,2013,Icy,Clear and sunny,58,65,0,Spring
March,2013,Sand/gravel/dirt,Clear and sunny,27,36,0,Spring
March,2013,Sand/gravel/dirt,"Overcast, cloudy but no precipitation",1,2,0,Spring
March,2013,Muddy,Clear and sunny,5,8,0,Spring
March,2013,Muddy,"Overcast, cloudy but no precipitation",2,3,0,Spring
March,2013,Muddy,Raining,1,1,0,Spring
March,2013,Flooded,Clear and sunny,1,0,1,Spring
March,2013,Flooded,Raining,1,1,0,Spring
March,2013,Other,Clear and sunny,232,289,2,Spring
March,2013,Other,"Overcast, cloudy but no precipitation",1,1,0,Spring
March,2013,Other,"Snowing, not including drifting snow",220,322,3,Spring
March,2013,Other,"Freezing rain, sleet, hail",3,3,0,Spring
March,2013,Other,Visibility limitation,3,4,0,Spring
March,2013,Other,Strong wind,14,22,0,Spring
March,2013,Other,Other,9,17,0,Spring
March,2013,Other,Clear and sunny,8,7,1,Spring
March,2013,Wet,Clear and sunny,24,34,0,Spring
March,2013,Wet,"Overcast, cloudy but no precipitation",1,1,0,Spring
March,2013,Wet,"Snowing, not including drifting snow",3,5,0,Spring
March,2013,Wet,"Freezing rain, sleet, hail",1,2,0,Spring
March,2013,Wet,Other,1,1,0,Spring
March,2013,Wet,Clear and sunny,56,67,0,Spring
March,2014,"Dry, normal",Clear and sunny,3631,4918,33,Spring
March,2014,"Dry, normal","Overcast, cloudy but no precipitation",314,442,1,Spring
March,2014,"Dry, normal",Raining,5,7,0,Spring
March,2014,"Dry, normal","Snowing, not including drifting snow",5,7,0,Spring
March,2014,"Dry, normal",Visibility limitation,8,12,0,Spring
March,2014,"Dry, normal",Strong wind,7,9,0,Spring
March,2014,"Dry, normal",Other,3,3,0,Spring
March,2014,"Dry, normal",Clear and sunny,20,21,1,Spring
March,2014,Wet,Clear and sunny,585,794,6,Spring
March,2014,Wet,"Overcast, cloudy but no precipitation",297,410,3,Spring
March,2014,Wet,Raining,397,574,3,Spring
March,2014,Wet,"Snowing, not including drifting snow",118,159,2,Spring
March,2014,Wet,"Freezing rain, sleet, hail",7,7,1,Spring
March,2014,Wet,Visibility limitation,9,12,0,Spring
March,2014,Wet,Strong wind,6,6,0,Spring
March,2014,Wet,Other,1,3,0,Spring
March,2014,Wet,Clear and sunny,6,7,0,Spring
March,2014,"Snow (fresh, loose snow)",Clear and sunny,218,265,5,Spring
March,2014,"Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",80,114,0,Spring
March,2014,"Snow (fresh, loose snow)",Raining,7,7,0,Spring
March,2014,"Snow (fresh, loose snow)","Snowing, not including drifting snow",552,740,4,Spring
March,2014,"Snow (fresh, loose snow)","Freezing rain, sleet, hail",2,3,0,Spring
March,2014,"Snow (fresh, loose snow)",Visibility limitation,164,247,3,Spring
March,2014,"Snow (fresh, loose snow)",Strong wind,15,22,0,Spring
March,2014,"Snow (fresh, loose snow)",Clear and sunny,4,6,0,Spring
March,2014,"Slush, wet snow",Clear and sunny,82,108,1,Spring
March,2014,"Slush, wet snow","Overcast, cloudy but no precipitation",37,52,0,Spring
March,2014,"Slush, wet snow",Raining,18,30,0,Spring
March,2014,"Slush, wet snow","Snowing, not including drifting snow",99,132,0,Spring
March,2014,"Slush, wet snow","Freezing rain, sleet, hail",9,13,0,Spring
March,2014,"Slush, wet snow",Visibility limitation,9,9,0,Spring
March,2014,"Slush, wet snow",Strong wind,4,7,0,Spring
March,2014,"Slush, wet snow",Other,1,1,0,Spring
March,2014,"Slush, wet snow",Clear and sunny,3,3,0,Spring
March,2014,Icy,Clear and sunny,532,695,4,Spring
March,2014,Icy,"Overcast, cloudy but no precipitation",114,140,0,Spring
March,2014,Icy,Raining,9,16,0,Spring
March,2014,Icy,"Snowing, not including drifting snow",221,313,5,Spring
March,2014,Icy,"Freezing rain, sleet, hail",17,21,0,Spring
March,2014,Icy,Visibility limitation,110,171,8,Spring
March,2014,Icy,Strong wind,18,27,1,Spring
March,2014,Icy,Other,1,1,0,Spring
March,2014,Icy,Clear and sunny,40,48,0,Spring
March,2014,Sand/gravel/dirt,Clear and sunny,12,15,0,Spring
March,2014,Sand/gravel/dirt,"Overcast, cloudy but no precipitation",3,4,0,Spring
March,2014,Muddy,Clear and sunny,5,7,0,Spring
March,2014,Muddy,"Overcast, cloudy but no precipitation",1,1,0,Spring
March,2014,Muddy,Raining,1,1,0,Spring
March,2014,Oil,Clear and sunny,1,1,0,Spring
March,2014,Other,Clear and sunny,281,355,3,Spring
March,2014,Other,"Snowing, not including drifting snow",220,284,9,Spring
March,2014,Other,"Freezing rain, sleet, hail",5,6,0,Spring
March,2014,Other,Visibility limitation,6,6,0,Spring
March,2014,Other,Other,4,5,0,Spring
March,2014,Other,Clear and sunny,9,14,0,Spring
March,2014,Wet,Clear and sunny,25,38,0,Spring
March,2014,Wet,"Overcast, cloudy but no precipitation",1,1,0,Spring
March,2014,Wet,"Snowing, not including drifting snow",7,10,0,Spring
March,2014,Wet,"Freezing rain, sleet, hail",1,2,0,Spring
March,2014,Wet,Visibility limitation,2,2,0,Spring
March,2014,Wet,Strong wind,1,2,0,Spring
March,2014,Wet,Other,1,1,0,Spring
March,2014,Wet,Clear and sunny,43,50,0,Spring
March,2015,"Dry, normal",Clear and sunny,4579,6210,41,Spring
March,2015,"Dry, normal","Overcast, cloudy but no precipitation",363,508,3,Spring
March,2015,"Dry, normal",Raining,9,11,0,Spring
March,2015,"Dry, normal","Snowing, not including drifting snow",6,6,0,Spring
March,2015,"Dry, normal",Visibility limitation,22,31,1,Spring
March,2015,"Dry, normal",Strong wind,8,8,0,Spring
March,2015,"Dry, normal",Other,5,13,0,Spring
March,2015,"Dry, normal",Clear and sunny,29,35,0,Spring
March,2015,Wet,Clear and sunny,546,725,4,Spring
March,2015,Wet,"Overcast, cloudy but no precipitation",258,340,6,Spring
March,2015,Wet,Raining,422,565,3,Spring
March,2015,Wet,"Snowing, not including drifting snow",119,164,0,Spring
March,2015,Wet,"Freezing rain, sleet, hail",13,15,1,Spring
March,2015,Wet,Visibility limitation,31,45,0,Spring
March,2015,Wet,Strong wind,2,3,0,Spring
March,2015,Wet,Other,6,9,0,Spring
March,2015,Wet,Clear and sunny,8,10,0,Spring
March,2015,"Snow (fresh, loose snow)",Clear and sunny,104,132,4,Spring
March,2015,"Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",54,63,0,Spring
March,2015,"Snow (fresh, loose snow)",Raining,2,2,0,Spring
